*	230nm	235nm	240nm	245nm	250nm	255nm	260nm	265nm	270nm	275nm	280nm	285nm	290nm	295nm	300nm	305nm	310nm	315nm	320nm	325nm	330nm	335nm	340nm	345nm	350nm	355nm	360nm	365nm	370nm	375nm	380nm	385nm	390nm	395nm	400nm	405nm	410nm	415nm	420nm	425nm	430nm	435nm	440nm	445nm	450nm	455nm	460nm	465nm	470nm	475nm	480nm	485nm	490nm	495nm	500nm	505nm	510nm	515nm	520nm	525nm	530nm	535nm	540nm	545nm	550nm	555nm	560nm	565nm	570nm	575nm	580nm	585nm	590nm	595nm	600nm	605nm	610nm	615nm	620nm	625nm	630nm	635nm	640nm	645nm	650nm	655nm	660nm	665nm	670nm	675nm	680nm	685nm	690nm	695nm	700nm	705nm	710nm	715nm	720nm	725nm	730nm	735nm	740nm	745nm	750nm	755nm	760nm	765nm	770nm	775nm	780nm	785nm	790nm	795nm	800nm	805nm	810nm	815nm	820nm	825nm	830nm	835nm	840nm	845nm	850nm	855nm	860nm	865nm	870nm	875nm	880nm	885nm	890nm	895nm	900nm	
A1	3.9838	3.4837	3.7257	3.5071	3.5449	3.5994	3.5533	3.5253	3.5796	3.2889	1.9166	1.0015	0.6094	0.4684	0.2536	0.2069	0.1891	0.1795	0.1685	0.1567	0.1482	0.141	0.1322	0.1274	0.125	0.1201	0.1141	0.1069	0.084	0.064	0.0495	0.045	0.0446	0.0429	0.0427	0.0422	0.0424	0.0417	0.0421	0.0414	0.0417	0.0414	0.0418	0.0408	0.0411	0.041	0.0411	0.0408	0.0413	0.0413	0.0417	0.0408	0.0409	0.0407	0.0402	0.0411	0.0407	0.0412	0.0404	0.0412	0.0408	0.0405	0.0407	0.0404	0.041	0.0413	0.0413	0.0403	0.0401	0.0407	0.0404	0.0405	0.0403	0.0406	0.0405	0.0399	0.0397	0.04	0.0398	0.0398	0.0398	0.0398	0.0391	0.0394	0.0396	0.0394	0.0391	0.0388	0.0391	0.0392	0.0387	0.0385	0.0388	0.0389	0.039	0.0388	0.0385	0.0391	0.0386	0.0389	0.0388	0.0386	0.0386	0.0388	0.0388	0.0388	0.0389	0.0388	0.0383	0.0384	0.0385	0.0384	0.0382	0.0383	0.0379	0.0387	0.0383	0.0385	0.0388	0.0383	0.0385	0.0382	0.038	0.0379	0.0382	0.0377	0.0382	0.0384	0.0386	0.0397	0.0395	0.0385	0.0383	0.0377	0.0379	
A2	3.675	3.4914	3.5511	3.5836	3.5658	3.6072	3.5562	3.5279	3.5795	3.351	1.8896	1.0041	0.6134	0.4721	0.2552	0.2086	0.1902	0.1798	0.169	0.1573	0.1488	0.1388	0.1308	0.1256	0.1245	0.119	0.1118	0.1027	0.0815	0.0621	0.0458	0.041	0.0412	0.0411	0.0397	0.0393	0.0386	0.0387	0.0378	0.0392	0.0384	0.0381	0.038	0.0382	0.0382	0.0376	0.0376	0.0367	0.0379	0.037	0.0377	0.0364	0.0363	0.0366	0.0371	0.0363	0.0365	0.0365	0.0374	0.0369	0.036	0.0365	0.0364	0.0367	0.0362	0.0369	0.036	0.036	0.036	0.0362	0.036	0.0362	0.0356	0.0355	0.0362	0.0356	0.0354	0.0355	0.0354	0.0354	0.0358	0.0357	0.0348	0.0355	0.0353	0.035	0.0349	0.0347	0.0349	0.0345	0.0343	0.0343	0.0347	0.0348	0.0347	0.0351	0.0346	0.0352	0.035	0.036	0.0359	0.0366	0.0371	0.0366	0.037	0.0368	0.0369	0.0371	0.0367	0.0365	0.0365	0.0363	0.0365	0.0359	0.036	0.0364	0.0364	0.0364	0.037	0.0374	0.0378	0.0385	0.0383	0.0383	0.0391	0.0382	0.0389	0.04	0.0404	0.0419	0.0426	0.0418	0.0413	0.0416	0.0423	
A3	4	3.966	4	4	4	4	4	3.829	3.581	3.4192	1.9804	1.07	0.6632	0.5138	0.2905	0.2354	0.214	0.201	0.1874	0.1735	0.1632	0.1517	0.1439	0.1368	0.1325	0.1291	0.1217	0.1122	0.0904	0.0697	0.0558	0.05	0.0497	0.0479	0.0465	0.047	0.046	0.0451	0.0463	0.0466	0.0447	0.0448	0.0453	0.0444	0.045	0.0449	0.0439	0.0443	0.0441	0.044	0.0437	0.0436	0.0433	0.0428	0.0424	0.0417	0.0421	0.0423	0.0416	0.0421	0.0413	0.0422	0.0416	0.0416	0.041	0.0416	0.0409	0.0405	0.0406	0.0409	0.0409	0.0406	0.0405	0.0402	0.0403	0.0399	0.0399	0.0404	0.0402	0.0399	0.0402	0.0397	0.0398	0.04	0.0399	0.0396	0.0396	0.0397	0.0396	0.0397	0.0395	0.0394	0.0396	0.0393	0.0396	0.0402	0.0394	0.0398	0.0396	0.0404	0.0408	0.0405	0.0408	0.04	0.0402	0.0406	0.0402	0.0403	0.04	0.0403	0.0401	0.0395	0.0404	0.04	0.04	0.0403	0.0407	0.0403	0.0412	0.0411	0.0413	0.0411	0.0404	0.0408	0.0409	0.0405	0.0409	0.0422	0.0433	0.0445	0.0451	0.0453	0.047	0.0516	0.0546	
A4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3.7966	2.7668	1.9069	1.2934	0.9314	0.6631	0.5754	0.5399	0.5031	0.464	0.4447	0.4598	0.4248	0.3676	0.2966	0.2555	0.2463	0.2154	0.1708	0.1493	0.143	0.1427	0.13	0.1117	0.1017	0.0954	0.0903	0.0854	0.081	0.0781	0.076	0.0735	0.0711	0.0694	0.0685	0.0666	0.0655	0.0642	0.0622	0.0614	0.0602	0.0591	0.0585	0.0572	0.0558	0.0552	0.0554	0.0542	0.0534	0.0525	0.0519	0.0509	0.0504	0.0501	0.0493	0.0493	0.0488	0.0488	0.0479	0.0477	0.0473	0.0469	0.0458	0.0459	0.0458	0.0457	0.0453	0.045	0.0448	0.044	0.0448	0.0447	0.0446	0.0439	0.0444	0.044	0.0448	0.0447	0.0449	0.0445	0.0442	0.0438	0.0438	0.0439	0.0436	0.0434	0.0431	0.0436	0.0435	0.0433	0.0435	0.0431	0.0436	0.0435	0.0432	0.044	0.0436	0.0438	0.0436	0.0432	0.0425	0.0432	0.0426	0.0433	0.0445	0.0456	0.0473	0.0468	0.0471	0.0492	0.0538	0.057	
A5	4	4	4	4	4	4	4	4	4	4	4	3.8669	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2.5365	1.2227	0.569	0.2788	0.1449	0.0892	0.0673	0.056	0.0506	0.0481	0.0473	0.0464	0.0456	0.0461	0.0445	0.0461	0.0448	0.0452	0.0444	0.0442	0.0441	0.044	0.0431	0.0434	0.0439	0.0439	0.0437	0.0432	0.0438	0.043	0.0432	0.0427	0.0433	0.0428	0.0422	0.0421	0.0423	0.042	0.042	0.0413	0.0414	0.0419	0.0413	0.0409	0.0414	0.0407	0.0408	0.0407	0.0407	0.0402	0.0405	0.0405	0.0399	0.0399	0.0396	0.0398	0.04	0.0397	0.0397	0.0392	0.0398	0.0399	0.0403	0.0402	0.0403	0.0401	0.0406	0.041	0.041	0.0408	0.0403	0.0404	0.0403	0.0406	0.0404	0.0406	0.0406	0.0407	0.0403	0.0409	0.0406	0.0406	0.041	0.0411	0.0411	0.0416	0.0421	0.0419	0.0421	0.0415	0.041	0.0417	0.0412	0.0418	0.0432	0.0442	0.0453	0.0457	0.0463	0.0479	0.0537	0.0565	
A6	3.9815	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3.718	2.2387	1.663	1.4168	1.3469	1.3464	1.359	1.3736	1.392	1.4013	1.3868	1.3499	1.283	1.1936	1.0961	0.993	0.8987	0.8292	0.7748	0.7427	0.7427	0.7768	0.8455	0.9592	1.1226	1.3078	1.5719	1.8929	2.2824	2.7531	3.2708	3.9215	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3.4691	2.8295	2.3279	1.9042	1.5367	1.2309	0.9889	0.7905	0.6264	0.4932	0.3963	0.3177	0.257	0.2099	0.1727	0.1418	0.1207	0.1036	0.0896	0.0791	0.0702	0.0636	0.0585	0.0549	0.0523	0.0497	0.0478	0.0467	0.0461	0.0455	0.0453	0.0445	0.044	0.0438	0.0427	0.0434	0.0433	0.0441	0.0453	0.0451	0.0457	0.0444	0.0453	0.0466	
B1	3.6785	3.9647	3.5536	3.4994	3.5638	3.4861	3.547	3.4316	3.485	3.2921	1.858	1.004	0.6145	0.4697	0.2548	0.2025	0.1877	0.1783	0.1661	0.1544	0.1463	0.1369	0.1293	0.1257	0.1228	0.1174	0.1118	0.104	0.0823	0.0617	0.0474	0.0414	0.0422	0.0412	0.0406	0.0407	0.0392	0.0385	0.0407	0.0403	0.0396	0.0386	0.0396	0.0388	0.0382	0.0388	0.0389	0.0385	0.0384	0.0391	0.0388	0.0381	0.0384	0.0383	0.038	0.0374	0.0381	0.0384	0.0384	0.0381	0.0376	0.0376	0.0371	0.0373	0.0373	0.0379	0.0378	0.0375	0.037	0.0378	0.0372	0.0371	0.0367	0.0366	0.0365	0.0364	0.0359	0.0362	0.036	0.0357	0.0358	0.0352	0.0354	0.035	0.0352	0.0348	0.0348	0.0346	0.0342	0.0343	0.0335	0.0335	0.0336	0.034	0.0339	0.0338	0.0341	0.0341	0.0338	0.034	0.0338	0.0342	0.0335	0.0336	0.034	0.0338	0.0338	0.034	0.0339	0.0338	0.0342	0.0335	0.0337	0.0337	0.0335	0.0337	0.0343	0.0336	0.034	0.0341	0.0334	0.0334	0.0336	0.0333	0.033	0.0322	0.033	0.0337	0.0346	0.036	0.0349	0.0345	0.0343	0.0353	0.0358	
B2	3.6787	3.6609	3.7255	3.5001	3.5633	3.6161	3.6133	3.5302	3.4909	3.4192	1.8599	1.0165	0.6235	0.4805	0.2626	0.2116	0.1967	0.187	0.1739	0.1633	0.1554	0.1452	0.1373	0.1318	0.129	0.1257	0.118	0.1087	0.0879	0.066	0.0528	0.0479	0.0464	0.0462	0.0433	0.0444	0.043	0.0425	0.0428	0.0427	0.043	0.0426	0.0419	0.0418	0.0415	0.0422	0.0418	0.0411	0.0415	0.0402	0.0399	0.0401	0.0397	0.0397	0.0403	0.0391	0.0399	0.0404	0.0401	0.0401	0.039	0.0399	0.0396	0.0395	0.0395	0.0396	0.0395	0.0392	0.039	0.0395	0.0389	0.0388	0.0385	0.0384	0.0383	0.0381	0.0376	0.0382	0.0378	0.0375	0.038	0.0377	0.0372	0.0374	0.0374	0.0369	0.0371	0.0361	0.0366	0.0364	0.0363	0.0359	0.0356	0.0361	0.0364	0.0365	0.0365	0.0371	0.037	0.0376	0.038	0.0384	0.0388	0.0388	0.0387	0.0392	0.0396	0.0392	0.039	0.0393	0.0394	0.0388	0.0388	0.0387	0.0382	0.0386	0.0386	0.0387	0.0394	0.0395	0.0402	0.0405	0.0408	0.0401	0.0405	0.0403	0.041	0.0417	0.0429	0.0443	0.0442	0.044	0.0439	0.0463	0.047	
B3	4	3.964	4	4	4	4	4	3.8312	3.4859	3.4223	1.9477	1.0774	0.6711	0.5192	0.2958	0.2369	0.2182	0.2061	0.1908	0.1778	0.1661	0.156	0.1464	0.1393	0.1371	0.1305	0.1235	0.1145	0.094	0.0717	0.058	0.0526	0.0513	0.0504	0.0491	0.0476	0.0471	0.0477	0.0473	0.048	0.0473	0.0461	0.0473	0.0465	0.0461	0.0465	0.0455	0.0449	0.0456	0.0452	0.045	0.045	0.0441	0.0444	0.0435	0.043	0.0423	0.0432	0.0431	0.0432	0.0426	0.0424	0.0418	0.0426	0.0422	0.0429	0.0424	0.0415	0.042	0.0424	0.0419	0.0417	0.0418	0.0415	0.042	0.0416	0.0417	0.0417	0.0414	0.0414	0.0411	0.0408	0.0407	0.0406	0.0409	0.0404	0.0398	0.0394	0.0394	0.0396	0.0389	0.039	0.0387	0.0389	0.039	0.0393	0.0387	0.0391	0.0389	0.0392	0.0397	0.0394	0.0397	0.0391	0.0386	0.0383	0.0391	0.0392	0.0393	0.0391	0.039	0.0389	0.039	0.0397	0.0397	0.04	0.04	0.04	0.0409	0.0408	0.0408	0.0411	0.0404	0.0405	0.0406	0.0401	0.0412	0.0428	0.0442	0.0459	0.0463	0.0463	0.0485	0.0543	0.0568	
B4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2.8078	1.9194	1.3024	0.9415	0.6809	0.5831	0.547	0.5105	0.4697	0.4517	0.4669	0.4313	0.3723	0.3001	0.2598	0.2498	0.2188	0.1746	0.1528	0.1458	0.1451	0.1333	0.1145	0.1039	0.0979	0.0917	0.0872	0.0841	0.0807	0.0777	0.0756	0.0729	0.0712	0.07	0.0686	0.0668	0.0652	0.0641	0.0629	0.0612	0.0598	0.0594	0.0585	0.0574	0.0565	0.0563	0.0555	0.0551	0.0539	0.0533	0.053	0.052	0.0513	0.0518	0.0511	0.0507	0.0505	0.05	0.0495	0.0487	0.0482	0.0472	0.0471	0.0468	0.0459	0.0458	0.0451	0.0448	0.044	0.0441	0.0441	0.0442	0.0435	0.0434	0.0433	0.0435	0.0431	0.0432	0.043	0.0418	0.0416	0.0417	0.0422	0.0417	0.0413	0.0415	0.0412	0.0414	0.0417	0.0413	0.0412	0.0415	0.042	0.0415	0.042	0.0423	0.0424	0.0425	0.042	0.0415	0.0421	0.0414	0.0427	0.044	0.0455	0.0471	0.0473	0.0483	0.0495	0.0555	0.0583	
