*	280nm	285nm	290nm	295nm	300nm	305nm	310nm	315nm	320nm	325nm	330nm	335nm	340nm	345nm	350nm	355nm	360nm	365nm	370nm	375nm	380nm	385nm	390nm	395nm	400nm	405nm	410nm	415nm	420nm	425nm	430nm	435nm	440nm	445nm	450nm	455nm	460nm	465nm	470nm	475nm	480nm	485nm	490nm	495nm	500nm	505nm	510nm	515nm	520nm	525nm	530nm	535nm	540nm	545nm	550nm	555nm	560nm	565nm	570nm	575nm	580nm	585nm	590nm	595nm	600nm	605nm	610nm	615nm	620nm	625nm	630nm	635nm	640nm	645nm	650nm	655nm	660nm	665nm	670nm	675nm	680nm	685nm	690nm	695nm	700nm	705nm	710nm	715nm	720nm	725nm	730nm	735nm	740nm	745nm	750nm	755nm	760nm	765nm	770nm	775nm	780nm	785nm	790nm	795nm	800nm	805nm	810nm	815nm	820nm	825nm	830nm	835nm	840nm	845nm	850nm	
A1	3.06733e+006	2.43754e+006	34113	173854	222942	261713	279012	242102	206999	170060	131195	101973	77072	56559	42335	32340	23625	17187	12902	9259	6154	4006	2807	2017	1602	1225	920	705	562	446	359	283	238	188	165	126	101	91	82	74	67	59	50	49	47	42	38	33	31	29	28	23	22	20	18	17	24	18	11	11	10	7	7	6	6	5	5	5	4	4	4	4	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	-3	0	0	0	0	0	0	-3	-3	-3	0	0	-3	0	0	-4	-4	0	0	-5	-5	-6	-6	-7	-9	-13	0	-31	
A2	3.16966e+006	2.55648e+006	33424	176772	226981	274319	284865	248373	214291	174786	133040	103537	78598	56982	42764	32513	24140	17027	12834	9151	6058	3972	2708	1962	1536	1163	894	677	530	435	339	273	222	182	156	117	102	87	83	73	63	57	53	47	44	39	36	33	31	28	25	22	22	19	18	16	22	18	13	10	10	7	8	6	5	3	3	5	2	4	4	2	2	0	2	2	2	0	0	-3	0	0	-3	0	0	0	0	-3	0	0	0	-3	-3	0	-3	0	-3	0	-3	-3	-4	-4	-4	-4	-4	-5	-5	-5	-6	-6	-7	-10	-13	-20	0	
A3	3.22128e+006	2.5713e+006	34525	175135	227948	272973	290882	247924	212520	172184	133585	103281	77910	56885	42839	32344	24064	17199	12918	9143	6233	3993	2710	1995	1556	1178	895	702	541	442	333	276	226	181	160	124	100	89	79	73	61	55	53	48	42	40	37	32	29	28	25	24	19	18	17	14	21	18	10	12	9	6	8	7	7	5	5	6	4	4	2	2	2	2	0	2	0	0	0	0	0	0	0	-3	0	0	-3	0	-3	0	0	0	-3	0	0	0	0	-3	-3	-3	-4	0	0	0	-4	-5	-5	-5	-6	0	0	-10	-14	-40	-31	
A4	3.22587e+006	2.61975e+006	33711	175291	225444	271917	280883	250148	211680	170652	134452	102217	77380	56567	42353	32360	23570	16679	12838	9102	6040	3924	2677	1962	1522	1133	888	679	540	426	340	270	221	183	158	126	107	95	88	82	70	66	60	54	52	51	44	43	38	34	30	28	24	25	21	20	26	21	14	12	10	9	9	8	8	7	7	5	7	4	4	4	4	2	2	2	2	2	0	3	0	0	-6	0	0	0	0	-3	-3	0	-3	0	-3	-3	-3	-3	0	-3	-3	-3	0	-4	-4	-4	0	-5	-5	-5	0	-6	-8	-10	0	-40	-31	
A5	3.20459e+006	2.61026e+006	34089	178526	227309	274515	285537	246854	213236	174057	134085	103356	79262	57839	42824	32281	23725	17072	12807	9397	6155	3986	2705	2018	1575	1176	908	715	559	446	357	288	250	209	175	152	126	119	115	106	96	92	85	83	79	75	70	67	63	58	54	48	48	41	39	37	39	35	25	24	22	23	18	17	16	15	14	13	11	9	10	8	6	6	7	5	5	5	5	6	3	3	3	3	3	0	0	3	0	0	3	0	0	0	-3	0	0	0	0	0	-3	0	-4	-4	0	0	-5	0	-6	-19	-8	-10	-13	-59	-31	
A6	3.24124e+006	2.64186e+006	34674	182114	235752	283662	294711	255551	218905	177001	136280	106325	79335	58214	43470	32609	24518	17634	13087	9434	6282	4117	2812	2040	1592	1204	936	702	582	459	366	304	247	203	175	141	117	105	94	84	76	69	62	58	56	49	44	40	35	33	28	26	26	21	20	17	23	19	11	12	10	9	8	6	6	5	3	7	6	4	4	4	2	2	2	0	2	3	0	5	3	3	0	0	-3	0	0	-6	0	-3	-3	0	0	0	-6	0	0	-3	-3	0	0	-4	-4	4	-4	9	-5	-5	-6	-7	-8	-10	-13	0	0	
B1	3.31508e+006	2.67365e+006	34527	178665	232022	277989	289814	255234	217380	176982	135561	107051	81088	58516	43904	33544	24755	17776	13338	9679	6510	4163	2849	2080	1652	1237	945	729	575	464	372	281	238	200	167	129	106	95	85	76	66	60	51	51	47	44	40	36	31	29	26	23	21	19	18	17	24	19	10	11	9	9	6	7	7	7	7	6	6	4	4	2	2	2	0	2	3	0	0	0	0	0	0	-3	4	-4	3	0	6	-3	0	3	6	3	0	-6	3	-3	0	0	-7	-4	0	0	-9	0	-10	0	6	0	8	-20	14	0	0	
B2	3.29461e+006	2.67267e+006	35432	182379	233435	288078	294506	256385	216265	178331	138487	106213	80159	58580	44438	33499	24323	17911	13269	9298	6295	4061	2738	1977	1585	1182	927	700	557	428	344	278	233	191	157	123	98	90	80	73	64	58	51	49	46	46	38	34	31	28	26	22	22	20	16	17	22	16	12	10	9	8	6	7	7	7	7	4	2	6	2	4	0	4	0	0	0	0	3	0	3	3	0	0	0	-4	0	0	-3	-3	3	3	0	0	0	0	-3	-6	-3	-3	-4	0	-8	-4	0	-5	5	-5	-12	-7	0	-10	-14	-20	0	
B3	3.25597e+006	2.65479e+006	35229	179643	233638	279666	295419	251410	215236	177956	136397	106975	79388	59382	42996	33301	24588	17580	13021	9279	6170	4011	2720	2025	1563	1173	922	699	549	446	351	270	223	180	155	126	99	87	81	66	64	56	51	51	45	43	36	33	30	28	25	22	19	20	16	15	25	18	10	10	9	8	6	6	7	5	7	4	4	4	4	2	4	2	2	2	2	0	0	0	0	0	3	0	3	0	-3	0	-3	0	0	0	3	0	-6	0	0	-3	0	-3	0	0	0	0	0	-5	-5	-5	0	-7	-8	-10	-14	-20	0	
B4	3.27179e+006	2.64748e+006	34987	180467	229376	276021	289859	251313	214985	175239	135274	104536	78413	57902	42721	33359	24153	17505	12872	9297	6218	3971	2724	1942	1549	1162	910	680	544	434	344	280	225	187	163	131	108	97	94	82	73	68	60	59	55	52	46	42	38	35	30	29	26	24	22	21	28	21	16	13	12	9	10	10	10	7	9	5	6	6	4	4	2	2	4	2	2	3	3	3	3	0	3	0	0	0	0	-3	0	3	0	0	0	0	0	0	0	-3	-3	-3	0	0	0	-4	-5	0	-5	-5	-6	0	-8	-10	-14	0	-31	
B5	3.25325e+006	2.6626e+006	34542	183012	235091	281858	291965	254565	217086	174943	135491	105456	79302	57891	43506	32998	24174	17534	12822	9216	6110	4013	2704	1960	1554	1189	924	712	553	446	366	284	250	209	179	150	126	119	113	106	95	97	85	80	80	76	70	64	62	55	53	52	43	41	39	36	43	36	27	24	21	20	19	18	15	16	12	14	9	8	8	8	8	9	4	5	5	5	3	-3	3	0	3	3	0	0	3	-3	0	3	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	7	-8	-10	0	20	0	
B6	3.23831e+006	2.63487e+006	35542	187447	238157	285934	299687	258583	222793	179501	139830	107291	80164	58037	44119	34039	24904	17832	13352	9589	6329	4154	2815	2058	1598	1219	945	731	580	467	369	297	250	208	172	142	117	102	96	92	76	73	62	60	54	46	45	39	36	32	31	26	23	21	20	19	23	17	12	10	9	9	8	6	7	7	5	5	4	4	4	4	4	2	2	2	2	3	3	-6	3	3	-3	0	0	0	-3	3	0	0	0	0	-6	-3	-3	-3	0	-3	-3	0	0	-4	-4	4	0	5	-5	0	-6	-7	-8	-10	-14	20	0	
C1	3.33433e+006	2.69595e+006	34207	178358	232161	284749	296857	254021	218039	176918	138240	105790	79757	58725	44150	33960	24790	18168	13359	9555	6528	4265	2869	2089	1646	1231	958	738	571	469	363	283	235	201	163	136	108	94	85	77	68	61	54	52	49	45	40	38	31	27	26	25	22	20	19	15	23	17	13	11	11	9	7	8	7	4	4	6	6	4	2	0	4	4	5	5	3	5	3	0	0	0	0	0	4	0	-4	0	-3	0	-3	-3	-3	-3	-3	-3	-3	-3	0	0	0	0	0	0	-5	0	0	-5	-6	0	0	-20	-14	-21	0	
C2	3.34433e+006	2.72824e+006	34598	182970	237076	283337	292396	255396	217970	178453	136833	105872	80331	59502	44581	33496	24599	17573	12954	9492	6231	4024	2722	2003	1577	1187	933	710	548	450	345	280	229	188	159	124	103	90	85	73	63	56	54	48	45	41	36	34	31	27	24	23	22	22	19	17	25	18	12	11	9	10	7	7	7	5	4	4	6	2	2	2	2	2	2	2	3	0	0	-3	3	0	0	-3	7	4	3	0	-3	-3	6	3	-9	3	-3	-6	3	-3	3	-4	0	-4	-4	0	0	-5	10	-11	6	0	-8	10	-14	0	0	
C3	3.37326e+006	2.72316e+006	34944	183876	236801	281717	297940	253896	214823	176760	138380	106539	80263	58750	43733	33241	24393	17593	13056	9456	6243	4088	2757	2013	1567	1191	916	695	549	438	346	269	224	186	151	123	101	90	79	70	64	55	51	46	42	41	37	32	29	26	24	21	19	18	17	16	20	16	10	9	9	8	8	7	7	7	2	4	4	8	4	2	2	0	5	5	5	3	0	3	0	0	0	0	0	0	0	0	0	3	0	0	-3	-3	-3	0	3	3	-3	-4	4	0	-8	-4	-9	0	0	0	0	-7	0	-10	-14	-21	33	
C4	3.37209e+006	2.74252e+006	35277	180972	234869	273172	295526	253881	216000	176824	137609	106574	81643	59760	43341	33797	24640	17804	13195	9425	6300	4029	2793	2016	1581	1189	934	704	555	443	366	279	234	198	165	141	114	103	95	85	76	68	64	59	55	49	48	44	40	33	32	30	25	25	22	21	26	23	15	12	12	10	12	10	7	9	4	8	6	6	6	4	7	7	5	2	0	3	3	0	0	3	0	0	0	4	4	3	0	0	0	0	0	0	-3	0	3	0	0	-4	0	0	0	0	-5	-5	0	0	0	7	-8	0	0	-64	0	
C5	3.35737e+006	2.76236e+006	35566	184020	238237	279484	296762	257020	220900	180054	139039	106514	80290	58613	44926	34088	24522	17617	13153	9369	6293	4109	2820	2025	1607	1190	960	709	555	460	378	307	257	212	183	157	128	117	110	109	99	91	89	86	79	77	73	65	63	62	56	50	46	43	41	36	45	37	29	25	24	23	19	19	18	16	13	11	12	10	8	9	9	9	5	5	5	5	6	6	3	7	0	4	4	4	4	3	0	0	3	0	0	3	-3	3	0	0	0	0	0	0	-4	5	0	0	0	0	0	-7	8	0	-15	-21	0	
C6	3.40756e+006	2.7888e+006	36736	179923	244862	294380	308242	263608	225048	183316	141711	110774	82788	59914	44886	34636	25424	18446	13639	9866	6536	4294	2883	2121	1661	1228	986	741	594	480	388	303	264	215	192	149	126	110	99	93	82	74	67	63	55	52	48	42	39	34	28	27	26	22	20	19	25	20	14	11	11	10	10	9	7	7	9	8	4	6	4	7	2	2	2	5	3	3	3	0	3	0	0	4	0	0	0	-3	0	0	0	3	-3	0	0	0	0	3	3	4	0	0	0	0	0	0	-5	-6	0	0	0	-11	-15	-21	0	
