*	300nm	310nm	320nm	330nm	340nm	350nm	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm	750nm	760nm	770nm	780nm	790nm	800nm	
A1	0.1219	0.1081	0.0981	0.0911	0.0879	0.0832	0.0713	0.0595	0.052	0.0476	0.0454	0.0435	0.043	0.0405	0.0412	0.0408	0.041	0.039	0.0391	0.0391	0.039	0.0381	0.0385	0.038	0.0378	0.037	0.0372	0.0368	0.0365	0.0368	0.0365	0.0362	0.0366	0.0362	0.0366	0.0365	0.0363	0.037	0.0362	0.0366	0.0361	0.0363	0.0367	0.0376	0.0379	0.0381	0.0381	0.0377	0.0379	0.0375	0.0373	
A2	0.0681	0.0617	0.0569	0.0523	0.0499	0.0467	0.0407	0.0366	0.0324	0.0308	0.0288	0.0285	0.0283	0.027	0.028	0.0272	0.0276	0.0271	0.027	0.0267	0.0269	0.0265	0.0267	0.0263	0.0265	0.0261	0.0265	0.0256	0.0257	0.0262	0.0263	0.0261	0.0268	0.0265	0.0264	0.0263	0.0261	0.0265	0.0261	0.0264	0.0263	0.0265	0.0265	0.0277	0.0288	0.0287	0.0289	0.0287	0.0286	0.0283	0.0282	
A3	0.0528	0.0478	0.0459	0.0421	0.0396	0.0373	0.0339	0.0311	0.029	0.0286	0.0281	0.0274	0.0274	0.0271	0.0265	0.027	0.0268	0.0265	0.0265	0.0263	0.0265	0.0261	0.0267	0.0264	0.0258	0.0254	0.0259	0.0265	0.0256	0.0261	0.0258	0.0259	0.026	0.0262	0.0262	0.0259	0.026	0.026	0.0256	0.0261	0.0261	0.0263	0.027	0.0279	0.0286	0.0283	0.0287	0.0287	0.0285	0.0285	0.028	
A4	0.0475	0.0433	0.0417	0.0389	0.0363	0.0351	0.0319	0.0306	0.0291	0.0274	0.0273	0.027	0.0268	0.0259	0.0275	0.0277	0.0266	0.0266	0.0267	0.0265	0.0263	0.0261	0.0259	0.026	0.0252	0.0258	0.0256	0.0256	0.0254	0.0254	0.0258	0.0254	0.0258	0.026	0.0262	0.0259	0.0254	0.0256	0.0254	0.0262	0.026	0.0263	0.0268	0.0279	0.0284	0.0286	0.0287	0.0283	0.028	0.028	0.028	
A5	0.0637	0.0552	0.0554	0.053	0.0509	0.049	0.0466	0.0455	0.0446	0.0437	0.0443	0.0436	0.043	0.0427	0.0434	0.0436	0.043	0.0434	0.0429	0.0433	0.0434	0.0425	0.0426	0.0429	0.0427	0.0431	0.0427	0.0428	0.043	0.0428	0.0429	0.0432	0.043	0.0431	0.0433	0.0433	0.043	0.0437	0.0434	0.0438	0.0434	0.0439	0.0447	0.0449	0.046	0.0463	0.0463	0.0461	0.0463	0.0454	0.0453	
A6	0.0699	0.0661	0.0661	0.0634	0.0616	0.0593	0.0562	0.057	0.0565	0.0546	0.0538	0.0532	0.0518	0.0523	0.0528	0.0532	0.0528	0.0519	0.0508	0.0518	0.0517	0.0498	0.051	0.051	0.0492	0.0503	0.0493	0.0488	0.0493	0.0488	0.0496	0.0491	0.049	0.0492	0.0489	0.048	0.0483	0.0488	0.0482	0.0487	0.0487	0.0487	0.0495	0.0502	0.0506	0.0509	0.0505	0.0504	0.0499	0.0497	0.0494	
A7	0.0435	0.0387	0.0374	0.0348	0.0333	0.0308	0.0287	0.0277	0.027	0.0266	0.0259	0.0269	0.0271	0.0258	0.0263	0.0256	0.0254	0.026	0.0254	0.0261	0.0252	0.0254	0.0253	0.0256	0.0251	0.025	0.0247	0.0244	0.0242	0.0245	0.0251	0.0245	0.0249	0.0249	0.0249	0.0249	0.0246	0.0256	0.0247	0.0251	0.0251	0.0257	0.026	0.0267	0.0274	0.0275	0.0277	0.0278	0.0274	0.0271	0.0275	
A8	0.0425	0.0378	0.036	0.0345	0.0324	0.0308	0.0284	0.0269	0.0266	0.0264	0.0252	0.0257	0.0258	0.0245	0.0261	0.0252	0.0256	0.0249	0.0248	0.0253	0.0255	0.0248	0.0247	0.0247	0.0243	0.0241	0.0244	0.0242	0.0236	0.0237	0.024	0.0237	0.024	0.024	0.0239	0.0243	0.0239	0.0244	0.0243	0.0251	0.0242	0.0247	0.0252	0.0261	0.027	0.0267	0.027	0.0268	0.027	0.0264	0.0265	
A9	0.0422	0.0379	0.0366	0.0348	0.0337	0.0304	0.0282	0.0268	0.0259	0.0248	0.0257	0.026	0.0263	0.0252	0.0258	0.0259	0.0257	0.0245	0.0251	0.0251	0.025	0.0249	0.025	0.0249	0.0243	0.0243	0.0243	0.0236	0.0238	0.0242	0.0236	0.024	0.024	0.0242	0.0245	0.024	0.0239	0.0247	0.0241	0.0247	0.0249	0.0249	0.0254	0.0261	0.027	0.027	0.0271	0.0267	0.0269	0.0271	0.0266	
A10	0.0427	0.0379	0.0367	0.0348	0.0319	0.0314	0.0277	0.0277	0.0265	0.027	0.0251	0.0252	0.0258	0.0251	0.0262	0.0261	0.0267	0.0252	0.0244	0.0254	0.0251	0.0241	0.025	0.0249	0.0246	0.024	0.0246	0.0233	0.0237	0.0242	0.0242	0.0242	0.0243	0.0238	0.0245	0.0242	0.024	0.0242	0.024	0.0245	0.0241	0.0245	0.0255	0.0265	0.027	0.0273	0.0266	0.0269	0.0268	0.0265	0.0264	
A11	0.0428	0.0376	0.0373	0.0345	0.0328	0.0311	0.0288	0.0279	0.0271	0.027	0.0245	0.0253	0.0253	0.0254	0.0255	0.0255	0.0256	0.025	0.0253	0.0256	0.0249	0.0246	0.0252	0.0244	0.0237	0.024	0.0248	0.0235	0.0234	0.0235	0.0239	0.024	0.0241	0.024	0.024	0.0239	0.0242	0.0244	0.0235	0.0245	0.024	0.0247	0.0249	0.0256	0.0265	0.0268	0.0273	0.0268	0.0268	0.0268	0.0257	
A12	0.0426	0.0368	0.037	0.0346	0.0327	0.0309	0.0283	0.0265	0.0264	0.0281	0.0257	0.0259	0.0258	0.025	0.0248	0.0256	0.0263	0.0255	0.0246	0.0254	0.0252	0.0237	0.0248	0.025	0.0246	0.024	0.024	0.0237	0.024	0.0231	0.0242	0.0244	0.0242	0.0246	0.0245	0.0242	0.0239	0.0242	0.0239	0.0249	0.0247	0.0252	0.0256	0.0263	0.0271	0.0273	0.0275	0.0267	0.0272	0.0271	0.0266	
B1	0.1138	0.1005	0.0912	0.0826	0.0807	0.0765	0.065	0.0538	0.0466	0.044	0.0384	0.036	0.0368	0.0349	0.0356	0.035	0.0344	0.0334	0.0336	0.0338	0.0331	0.0328	0.0333	0.0325	0.0322	0.032	0.032	0.0328	0.0314	0.0317	0.0317	0.0314	0.0315	0.031	0.0321	0.0315	0.0315	0.0322	0.031	0.0316	0.031	0.0319	0.0326	0.0331	0.0339	0.0338	0.0339	0.0337	0.0338	0.0335	0.0329	
