,DB_target_rank,family,nPDBs,plasmid_ID,plasmid_nconflicts,plasmid_nextraneous_residues,plasmid_source,selected_construct_nextraneous_residues,selected_construct_source,targetID,top_pdb_ID,top_pdb_auth_score,top_pdb_expr_tag,top_pdb_nextraneous_residues,top_pdb_taxname
0,194,CAMK,5,HsCD00038177,0.0,300.0,HIP pJP1520,24.0,PDB,AAPK2_HUMAN_D0,2H6D_A,2.0,TEV_cleaved_Nterm,24.0,Human
1,43,,87,HsCD00038050,0.0,153.0,HIP pJP1520,22.0,PDB,AURKA_HUMAN_D0,2NP8_A,2.0,TEV_cleaved_Nterm,22.0,Human
2,40,,1,AURKBA-c004,1.0,39.0,SGC Oxford,39.0,SGC,AURKB_HUMAN_D0,4AF3_A,2.0,TEV_cleaved_Nterm,42.0,Human
3,26,CMGC,229,HsCD00038311,0.0,15.0,HIP pJP1520,17.0,PDB,CDK2_HUMAN_D0,4EOO_A,2.0,TEV_cleaved_Nterm,17.0,Human
4,314,CMGC,2,HsCD00038347,0.0,38.0,HIP pJP1520,20.0,PDB,CDK6_HUMAN_D0,4EZ5_A,2.0,Histag_Cterm,20.0,Human
5,62,,79,HsCD00038326,0.0,105.0,HIP pJP1520,55.0,PDB,CSK21_HUMAN_D0,3AXW_A,1.0,other_extra_seq_Nterm,55.0,Human
6,198,CAMK,6,DAPK3A-c010,0.0,18.0,SGC Oxford,18.0,SGC,DAPK3_HUMAN_D0,3BHY_A,2.0,TEV_cleaved_Nterm,21.0,Human
7,250,CMGC,3,DYRK2A-c023,0.0,80.0,SGC Oxford,80.0,SGC,DYRK2_HUMAN_D0,4AZF_A,2.0,TEV_uncleaved_Nterm,104.0,Human
8,93,CK1,10,HsCD00038353,0.0,140.0,HIP pJP1520,28.0,PDB,KC1D_HUMAN_D0,4HNF_B,2.0,TEV_cleaved_Nterm,28.0,Human
9,224,CAMK,1,CAMK4A-c007,0.0,71.0,SGC Oxford,71.0,SGC,KCC4_HUMAN_D0,2W4O_A,2.0,TEV_uncleaved_Nterm,95.0,Human
